"rank","name","industry","revenue","three_years_growth_percent","workers","founded","yrs_on_list","state","metro","city","url"
"3050","Medical Solutions","Health",480.6,0.121,514,2001,"12","NE","Omaha-Council Bluffs","Omaha","medicalsolutions.com"
"3051","Bean Group","Real Estate",49.4,0.121,22,2003,"8","NH","Boston","Portsmouth","beangroup.com"
"3052","RevLocal","Advertising & Marketing",35.7,0.121,376,1998,"6","OH","Columbus","Granville","revlocal.com"
"3053","Brink","Advertising & Marketing",2.9,0.121,22,2001,"2","AZ",NA,"Tucson","http://brink.com"
"3054","Allixo","IT Management",3.1,0.121,21,2009,"2","WA",NA,"Mount Vernon","allixo.com"
"3055","Rentec Direct","Software",4.1,0.121,13,2009,"3","OR",NA,"Grants Pass","rentecdirect.com"
"3056","Professional Enrollment Concepts","Human Resources",9.2,0.121,55,2012,"3","TX","Houston","Houston","pecinsuresource.com"
"3057","Qiigo","Advertising & Marketing",8.1,0.121,61,2006,"5","GA","Atlanta","Roswell","qiigo.com"
"3058","Chrome River","Software",48.3,0.121,474,2007,"8","CA","Los Angeles","Los Angeles","chromeriver.com"
"3059","Sender One Climbing","Consumer Products & Services",6.5,0.121,150,2012,"2","CA","Los Angeles","Santa Ana","sender.one"
"3060","Jane.com","Consumer Products & Services",185.4,0.121,175,2011,"5","UT","Provo-Orem","Lehi","jane.com"
"3061","Lumiere Children's Therapy","Health",2.9,0.121,45,2009,"1","IL","Chicago","Chicago","lumierechild.com"
"3062","Affiliated Communications dba Alert Communications","Business Products & Services",17,0.121,256,1965,"3","CA","Oxnard-Thousand Oaks-Ventura","Camarillo","alertcommunications.com"
"3063","City Brew Tours","Travel & Hospitality",2.5,0.121,42,2008,"2","MA","Boston","Watertown","citybrewtours.com"
"3064","Mountain Showcase Group","Consumer Products & Services",4.3,0.121,37,1996,"3","NC","Asheville","Hendersonville","mountainshowcase.com"
"3065","Business IT Source","Computer Hardware",128.9,0.121,50,2008,"3","IL","Chicago","Buffalo Grove","bitsinc.com"
"3066","Advanced Powder Products","Manufacturing",10.9,0.121,76,2000,"4","PA",NA,"Philipsburg","advancedpowderproducts.com"
"3067","Fab-Tec","Construction",3.9,0.121,50,1997,"2","NC","Charlotte","Dallas","fab-tec.com"
"3068","Conti","Real Estate",66.9,0.121,175,2008,"5","TX","Dallas","Dallas","http://contiorg.com"
"3069","Facility Systems","Construction",4.5,0.121,10,1985,"1","KS","Kansas City","Overland Park","fsikc.com"
"3070","Halco Testing Services","Business Products & Services",2.8,0.121,18,1976,"2","CA","Los Angeles","Los Angeles","halcotestingservices.com"
"3071","Search Discovery","Advertising & Marketing",21,0.121,105,2004,"3","GA","Atlanta","Atlanta","searchdiscovery.com"
"3072","Competitive Health","Health",4.8,0.121,5,1996,"2","CA","Los Angeles","Irvine","competitivehealth.com"
"3073","Unlimited Landscaping & Turf Management","Environmental Services",20,0.121,216,1998,"4","GA","Atlanta","Buford","unlimitedlawncare.com"
"3074","EvolveMKD","Advertising & Marketing",6.5,0.121,20,2014,"1","NY","New York City","New York","evolvemkd.com"
"3075","Premier Networx","IT Management",2.6,0.12,14,2013,"2","GA",NA,"Martinez","augustaitguys.com"
"3076","AvAir","Logistics & Transportation",67.1,0.12,80,2000,"2","AZ","Phoenix","Chandler","avair.aero"
"3077","Aqua-Yield Operations","Business Products & Services",2.6,0.12,27,2014,"1","UT","Salt Lake City","Draper","aquayield.com"
"3078","Circle Computer Resources","IT Management",24.7,0.12,108,1986,"10","IA",NA,"Cedar Rapids","ccr.net"
"3079","Vandelay Education","Education",9.5,0.12,333,2010,"1","TX","Austin","Cedar Park","vandelayeducation.com"
"3080","Open Source Integrators","IT System Development",3,0.12,21,2010,"1","AZ","Phoenix","Gilbert","opensourceintegrators.com"
"3081","Zulu Marketing","Financial Services",21.1,0.12,26,2008,"2","UT","Provo-Orem","Lehi","zulumarketing.com"
"3082","Laketown Electric","Construction",17.2,0.12,110,1975,"5","MN","Minneapolis","Waconia","laketownelectric.com"
"3083","Tri Tower Telecom","Telecommunications",7.7,0.12,21,2009,"1","NY","Rochester","Rochester","tritowertelecom.com"
"3084","SecureLink","Software",14.8,0.12,105,2003,"2","TX","Austin","Bee Cave","securelink.com"
"3085","Stamford Technology Solutions","Business Products & Services",3.4,0.12,35,2013,"2","CT","Bridgeport-Stamford-Norwalk","Stamford","http://infinitysts.com"
"3086","Axispoint","Software",24.9,0.12,90,1994,"8","NY","New York City","New York","axispoint.com"
"3087","Mattingly Concrete","Construction",5,0.12,49,1987,"2","IN","Indianapolis","Indianapolis","mattinglyconcrete.com"
"3088","IT Partners (Bethel Park, PA)","Business Products & Services",8.5,0.12,45,1994,"6","VA","Pittsburgh","Vienna","itpsap.com"
"3089","StateServ-Hospicelink","Health",205.5,0.12,400,2004,"4","AL","Birmingham","Birmingham","hospicelink.com"
"3090","Activate Marketing Services","Advertising & Marketing",14.1,0.12,25,2013,"1","CA","New York City","San Francisco","activatems.com"
"3091","Chesapeake Plumbing & Heating","Construction",29.2,0.12,133,2003,"5","DE",NA,"Frankford","chesapeakeplumbingandheating.com"
"3092","IT Management Corporation","IT Management",9.2,0.12,22,2009,"1","CA","San Jose","Santa Clara","it-management.com"
"3093","Dogtopia Enterprises","Consumer Products & Services",14.4,0.12,305,2002,"1","AZ","Phoenix","Phoenix","dogtopia.com"
"3094","Modality Solutions","Engineering",2.1,0.12,8,2011,"1","TX","Houston","League City","modality-solutions.com"
"3095","Light Dental Studios","Health",17.8,0.119,180,1997,"4","WA","Seattle","Puyallup","lightdentalstudios.com"
"3096","Ovative Group","Advertising & Marketing",21.8,0.119,120,2009,"4","MN","Minneapolis","Minneapolis","ovative.com"
"3097","Southwest Antennas","Manufacturing",7.4,0.119,50,2005,"1","CA","San Diego","San Diego","http://southwestantennas.com"
"3098","McKay Advertising + Activation","Advertising & Marketing",3,0.119,12,2005,"3","FL","Tampa","Tampa","mckayadvertising.com"
"3099","LS Systems","Construction",10.8,0.119,66,1996,"1","MD","Baltimore","Arbutus","lssmd.com"
